# theta calculated for lambda=      1.5418380 A
# Miller indeces multiplicity  2 x theta        d (A)     intensity
   -7    2   -1       24         49.3551        1.84646409      0.9569
   -7    3   -2       24         49.4154        1.84435004      1.0937
   -4    0   -5       12         50.2744        1.81483702      0.7032
   -3    1   -7       24         50.3144        1.81348617      0.8940
   -7    2   -2       24         50.7278        1.79967313      0.9351
   -6    1   -4       24         50.9642        1.79188108      1.1215
   -6    0   -2       12         51.0424        1.78931753      0.4625
   -5    0   -5       12         51.1409        1.78610302      0.6356
   -7    1    0       12         51.5112        1.77413059      0.4408
   -3    0   -7       12         51.6101        1.77096397      0.4810
   -7    3   -2       24         51.6866        1.76852201      1.0487
   -7    1   -1       24         51.9579        1.75992398      0.8650
   -5    2   -5       24         52.2103        1.75201013      1.4743
   -6    3   -5       12         52.4219        1.74543556      0.7012
    0    0   -8        2         52.5384        1.74183750      0.0104
   -7    2   -2       24         52.9582        1.72901743      0.8936
   -6    2   -5       24         53.0541        1.72611656      1.2660
   -1    0   -8       12         53.1697        1.72263642      0.0981
   -7    1   -2       24         53.2821        1.71926816      0.8219
   -5    1   -5       24         53.4731        1.71357800      1.2702
   -4    2   -7       12         53.5114        1.71244074      0.5588
   -6    0   -4       12         54.1338        1.69421445      0.4381
   -4    1   -7       24         54.1348        1.69418545      1.0793
   -2    1   -8       12         54.4170        1.68606537      0.1719
   -8    4    0        6         54.6584        1.67918750      0.2053
   -7    3   -4       24         54.7523        1.67652990      0.9648
   -6    1   -5       24         54.9204        1.67179457      1.0022
   -2    0   -8       12         55.0333        1.66863217      0.2043
   -8    4   -1       12         55.0872        1.66712677      0.4023
   -8    3    0       18         55.2729        1.66196461      0.6068
   -7    1   -2       24         55.4400        1.65735129      0.7639
   -8    3   -1       36         55.6986        1.65026863      1.1834
   -5    0   -5       12         55.9393        1.64373847      0.5213
   -7    2   -4       24         55.9755        1.64276104      0.8255
   -4    0   -7       12         55.9764        1.64273460      0.5099
   -8    4   -2       12         56.3606        1.63244643      0.3790
   -3    1   -8       24         56.8555        1.61940801      0.5882
   -8    3   -2       36         56.9629        1.61660877      1.1029
   -8    2    0       12         57.0900        1.61331117      0.3748
   -6    3   -5       12         57.1455        1.61187553      0.5657
   -8    2   -1       24         57.5068        1.60260609      0.7280
   -6    2   -5       24         57.7425        1.59662354      1.0345
   -5    2   -7       24         57.7790        1.59570349      1.0831
   -6    0   -5       12         57.9403        1.59164297      0.3940
   -3    0   -8       12         58.0494        1.58891324      0.3242
   -7    1   -4       24         58.3709        1.58092536      0.6937
   -8    4   -2       12         58.4423        1.57916397      0.3443
